split,id,image_path,source_path,sha1,is_exact_anchor,dhash_min,dhash_similarity,face_count,mean,std,grad,min,max,risk_exact,risk_dhash,risk_grad,risk_face,bad_score,pred_e086,pred_e087,pred_e088,rank
train,14,data\processed\exp_001_faces_224\train\14.png,data\raw\kul-computer-vision-ga-1-2026\train\train_14.npy,a012a59fbc5f5f43fa25ebe1440699256284144c,0,23,0.640625,1,101.6700677950678,90.28552866933155,3.8934241876619766,0.0,255.0,0.0,0.640625,0.5399287582042952,0.0,0.2091143137306443,0,0,0,14
train,46,data\processed\exp_001_faces_224\train\46.png,data\raw\kul-computer-vision-ga-1-2026\train\train_46.npy,09f7c07970af1662d1f3773a3e220133e3bf2c06,0,34,0.46875,1,115.83532247148352,64.22976519910691,3.609045739504894,0.0,255.0,0.0,0.46875,0.7637284837624895,0.0,0.20830927256437343,1,1,1,15
val,5,data\processed\exp_001_faces_224\train\5.png,data\raw\kul-computer-vision-ga-1-2026\train\train_5.npy,7ee7d29f1a120154a43ca0c7d94298dfd466e263,0,19,0.703125,1,70.03067289052137,58.25052429118314,4.120310064089281,0.0,255.0,0.0,0.703125,0.36137445070834406,0.0,0.1948311676062516,1,1,1,16
val,26,data\processed\exp_001_faces_224\train\26.png,data\raw\kul-computer-vision-ga-1-2026\train\train_26.npy,ee1748b29e8b61200b4929b47ab9de17d9adc1b4,0,30,0.53125,1,113.88576604938271,77.99629818288909,3.8482918531324994,0.0,255.0,0.0,0.53125,0.5754469352917456,0.0,0.19256704029376187,0,0,0,17
train,63,data\processed\exp_001_faces_224\train\63.png,data\raw\kul-computer-vision-ga-1-2026\train\train_63.npy,547cc28d051a2a6f4c5a4f62a5fb1d7ca20c42b7,0,21,0.671875,2,131.88208749970863,71.91005209946584,4.087418479962645,2.0,255.0,0.0,0.671875,0.3872594203620548,0.0,0.1924639130543082,2,2,2,18
train,55,data\processed\exp_001_faces_224\train\55.png,data\raw\kul-computer-vision-ga-1-2026\train\train_55.npy,27d848a4c27d6b39e68630f9952cf94a00844c76,0,34,0.46875,1,208.74557013750697,64.35901074962071,3.7953845633928855,0.0,255.0,0.0,0.46875,0.6170838349952458,0.0,0.18631257524928685,0,0,0,19
val,58,data\processed\exp_001_faces_224\train\58.png,data\raw\kul-computer-vision-ga-1-2026\train\train_58.npy,97f6d52f892588a46e60cb5738c127a405db887f,0,26,0.59375,1,129.95053914674168,65.81323839565363,4.112199585274507,0.0,255.0,0.0,0.59375,0.36775722318866055,0.0,0.1739135834782991,0,0,0,20
test,537,data\processed\exp_001_faces_224\test\537.png,data\raw\kul-computer-vision-ga-1-2026\test\test_537.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0,21
test,1071,data\processed\exp_001_faces_224\test\1071.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1071.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0,22
test,1112,data\processed\exp_001_faces_224\test\1112.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1112.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0,23
test,1039,data\processed\exp_001_faces_224\test\1039.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1039.npy,c06055df4848a4817e80ddf3926b410f67fce649,0,26,0.59375,0,96.8371847429519,83.8012864376497,3.037776520373069,0.0,255.0,0.0,0.59375,1.0,1.0,0.36875,0,0,0,24
test,645,data\processed\exp_001_faces_224\test\645.png,data\raw\kul-computer-vision-ga-1-2026\test\test_645.npy,c5dd35083be5d57ecf3dd16c456e71c3b1774c20,0,27,0.578125,0,102.49004571026722,65.14492293259569,3.2484406753074255,0.0,255.0,0.0,0.578125,1.0,1.0,0.365625,2,2,2,25
test,1448,data\processed\exp_001_faces_224\test\1448.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1448.npy,91b9d4ed5849c5c5d6da90d1748b66db6481351b,0,27,0.578125,0,85.76735555555555,59.567197245409986,3.2557395020438498,0.0,248.0,0.0,0.578125,1.0,1.0,0.365625,0,0,0,26
test,650,data\processed\exp_001_faces_224\test\650.png,data\raw\kul-computer-vision-ga-1-2026\test\test_650.npy,e8588837d5829aad6f1e663c84186f6eb5e3e41a,0,30,0.53125,0,63.330350328089395,41.87724862531543,2.2694097460221627,0.0,255.0,0.0,0.53125,1.0,1.0,0.35624999999999996,0,0,0,27
test,130,data\processed\exp_001_faces_224\test\130.png,data\raw\kul-computer-vision-ga-1-2026\test\test_130.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0,28
test,1121,data\processed\exp_001_faces_224\test\1121.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1121.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0,29
test,1244,data\processed\exp_001_faces_224\test\1244.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1244.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0,30
test,373,data\processed\exp_001_faces_224\test\373.png,data\raw\kul-computer-vision-ga-1-2026\test\test_373.npy,69175256328e015ee048b662eccfc710515596e6,0,26,0.59375,0,63.50199864498645,77.0088443443062,3.539274338409933,0.0,255.0,0.0,0.59375,0.8186370765832707,1.0,0.3415455614874906,1,1,1,31
test,920,data\processed\exp_001_faces_224\test\920.png,data\raw\kul-computer-vision-ga-1-2026\test\test_920.npy,393dc885e9f5af139153533491c244ff68cb48b8,0,10,0.84375,1,45.978959552094175,50.64755648704594,1.5218964562633932,0.0,246.0,0.0,0.84375,1.0,0.0,0.31875,0,0,0,32
test,190,data\processed\exp_001_faces_224\test\190.png,data\raw\kul-computer-vision-ga-1-2026\test\test_190.npy,1d82d21640f6f99a85658e0c22702f6a910a2b29,0,11,0.828125,1,45.14806060349331,50.03619137031326,1.434955402546743,0.0,247.0,0.0,0.828125,1.0,0.0,0.31562500000000004,0,0,0,33
test,406,data\processed\exp_001_faces_224\test\406.png,data\raw\kul-computer-vision-ga-1-2026\test\test_406.npy,a8e18fc18c7ab4edc3e450ec256af4b102193a28,0,15,0.765625,1,46.06218967013889,53.49291152885416,2.434191358977598,0.0,255.0,0.0,0.765625,1.0,0.0,0.303125,1,1,1,34
test,839,data\processed\exp_001_faces_224\test\839.png,data\raw\kul-computer-vision-ga-1-2026\test\test_839.npy,203efc95c92ace7378f582784caede717c2eca9f,0,17,0.734375,1,70.12971193415638,78.51755633092762,2.8419440554412017,0.0,255.0,0.0,0.734375,1.0,0.0,0.296875,0,0,0,35
test,1398,data\processed\exp_001_faces_224\test\1398.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1398.npy,5c7f1df0213131dfa863c549e65722aef72cf991,0,17,0.734375,1,43.277270781893,51.11930642758944,2.9569809453105664,0.0,255.0,0.0,0.734375,1.0,0.0,0.296875,2,2,2,36
test,1715,data\processed\exp_001_faces_224\test\1715.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1715.npy,5954f143106de2d05938f5a6b1856360a38e8d8a,0,17,0.734375,3,87.92970574632905,57.58157347710177,3.0838984165191103,0.0,255.0,0.0,0.734375,1.0,0.0,0.296875,0,0,0,37
test,1677,data\processed\exp_001_faces_224\test\1677.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1677.npy,e6a78bb4d4800894acc8cb1971d2bd1708fe1f82,0,17,0.734375,6,92.59285025145479,68.93577068363695,2.8105440672763233,0.0,255.0,0.0,0.734375,1.0,0.0,0.296875,0,0,0,38
test,160,data\processed\exp_001_faces_224\test\160.png,data\raw\kul-computer-vision-ga-1-2026\test\test_160.npy,bf8defff75e7757e7adddae40431e2e2af21d8d4,0,18,0.71875,1,43.9632190957191,65.25828354628632,2.541315797836762,0.0,255.0,0.0,0.71875,1.0,0.0,0.29375,1,1,1,39
test,1749,data\processed\exp_001_faces_224\test\1749.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1749.npy,fad9822e2acc13cdc30fe0a8c51e7e89325eab9d,0,18,0.71875,1,48.940353334316185,34.59037399142219,2.3887454160562207,0.0,255.0,0.0,0.71875,1.0,0.0,0.29375,1,1,1,40
test,64,data\processed\exp_001_faces_224\test\64.png,data\raw\kul-computer-vision-ga-1-2026\test\test_64.npy,aebc8b60a88e4a6d1da65d3fc906aefd05ee4221,0,19,0.703125,1,89.11433073722635,66.53009793105566,2.8839794710325375,0.0,248.0,0.0,0.703125,1.0,0.0,0.290625,0,0,0,41
test,1705,data\processed\exp_001_faces_224\test\1705.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1705.npy,1a80d31da026d88d75c06f329a6519e783152051,0,19,0.703125,1,47.54488833932854,59.0551270678391,2.18403728623501,0.0,255.0,0.0,0.703125,1.0,0.0,0.290625,1,1,1,42
test,14,data\processed\exp_001_faces_224\test\14.png,data\raw\kul-computer-vision-ga-1-2026\test\test_14.npy,69ef3e7350c2076a632c1c232503b35574ad4fd1,0,20,0.6875,1,132.006535778621,78.84862258273247,3.129043257549192,0.0,255.0,0.0,0.6875,1.0,0.0,0.2875,0,0,0,43
test,533,data\processed\exp_001_faces_224\test\533.png,data\raw\kul-computer-vision-ga-1-2026\test\test_533.npy,3ad2939069965fb1036e5ee22ac51710e6366f78,0,20,0.6875,1,62.3297827903091,39.523878887535474,2.471775479733412,0.0,255.0,0.0,0.6875,1.0,0.0,0.2875,1,1,1,44
test,1026,data\processed\exp_001_faces_224\test\1026.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1026.npy,ddf557fad5b25bcb33b53761da21bb6b2e345861,0,20,0.6875,1,70.03168609306368,58.2553195480189,2.4177954733040092,0.0,255.0,0.0,0.6875,1.0,0.0,0.2875,1,1,1,45
test,488,data\processed\exp_001_faces_224\test\488.png,data\raw\kul-computer-vision-ga-1-2026\test\test_488.npy,b2c7c8e4347a8c116b01a60731bf78d0d002c6d1,0,20,0.6875,4,103.48417843691149,69.26218815891362,3.127821853246296,2.0,255.0,0.0,0.6875,1.0,0.0,0.2875,0,0,0,46
test,682,data\processed\exp_001_faces_224\test\682.png,data\raw\kul-computer-vision-ga-1-2026\test\test_682.npy,e5463700f0fa62c151615b89196c068d8f333cd9,0,21,0.671875,1,53.98609293590209,55.25003856138363,2.792223203298041,0.0,255.0,0.0,0.671875,1.0,0.0,0.284375,2,2,2,47
test,1200,data\processed\exp_001_faces_224\test\1200.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1200.npy,6f18acae6cda0d21ba7957e2409f27d23b8fb802,0,21,0.671875,1,48.24476581183772,67.15321454729292,2.2128439954192216,0.0,255.0,0.0,0.671875,1.0,0.0,0.284375,2,2,2,48
test,1427,data\processed\exp_001_faces_224\test\1427.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1427.npy,3a83a36fa1b3ffb824ac03d115204048b4033571,0,21,0.671875,1,102.00544936157792,41.585014912151806,2.531112068528376,0.0,234.0,0.0,0.671875,1.0,0.0,0.284375,0,0,0,49
test,1773,data\processed\exp_001_faces_224\test\1773.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1773.npy,ed2163dbd2b63326af4e259ea126fd5bfc51a040,0,21,0.671875,1,28.041893760980898,49.88982770654672,1.5784819091534017,0.0,255.0,0.0,0.671875,1.0,0.0,0.284375,1,1,1,50
test,874,data\processed\exp_001_faces_224\test\874.png,data\raw\kul-computer-vision-ga-1-2026\test\test_874.npy,d1352b077a5d75c4ca27a488f46bbf8c6c2307dd,0,20,0.6875,1,42.38042472605314,64.01517143489306,3.3439696801263334,0.0,255.0,0.0,0.6875,0.972337644285795,0.0,0.28335064664286924,0,0,0,51
test,268,data\processed\exp_001_faces_224\test\268.png,data\raw\kul-computer-vision-ga-1-2026\test\test_268.npy,9fead67cf62ba9a717f4ebb1c06f1447a3cf7c29,0,18,0.71875,1,25.917237580128205,44.75529924196269,3.401954619523959,0.0,236.0,0.0,0.71875,0.9267047434531377,0.0,0.28275571151797063,2,2,2,52
test,25,data\processed\exp_001_faces_224\test\25.png,data\raw\kul-computer-vision-ga-1-2026\test\test_25.npy,06d73e114c89996a450385f3f5429bee409f4d4d,0,22,0.65625,1,66.49170303030303,70.12024549393699,3.2655690615196473,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,1,1,1,53
test,489,data\processed\exp_001_faces_224\test\489.png,data\raw\kul-computer-vision-ga-1-2026\test\test_489.npy,6a54f8fd7817e586c62097f82052b99910872d93,0,22,0.65625,1,24.53008808808809,36.067852328407795,2.4121574994423645,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,0,0,0,54
test,599,data\processed\exp_001_faces_224\test\599.png,data\raw\kul-computer-vision-ga-1-2026\test\test_599.npy,af51f1298f2be373e8dfddaa76acc8e6f9a04130,0,22,0.65625,1,84.2828354053354,63.50947255110129,2.9219976303204085,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,2,2,2,55
test,710,data\processed\exp_001_faces_224\test\710.png,data\raw\kul-computer-vision-ga-1-2026\test\test_710.npy,5e06cf99b42347cb9a7f592a6aaf915fe4d2bf95,0,22,0.65625,1,71.59489352302798,63.850243377919455,1.8234939181032175,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,1,1,1,56
test,1124,data\processed\exp_001_faces_224\test\1124.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1124.npy,c66820e4425d18e3b374d44ad6f00f97589c407d,0,22,0.65625,1,84.05696192059828,69.10798274657986,2.926019231275962,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,0,0,0,57
test,1298,data\processed\exp_001_faces_224\test\1298.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1298.npy,db72eac2886e6edfd804cbe535e3b41e8b3adf1e,0,22,0.65625,1,57.592908951794215,69.31102854961941,2.9418904533182864,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,2,2,2,58
test,1803,data\processed\exp_001_faces_224\test\1803.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1803.npy,94193f7b79741f42f7db2b4cf2512994d6cc9482,0,22,0.65625,2,121.24916336229927,83.27489761501491,2.6723008892023223,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,0,0,0,59
test,1459,data\processed\exp_001_faces_224\test\1459.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1459.npy,886ee58f8f40717325ac511a85a754c7852b07e6,0,22,0.65625,3,86.75851504914004,70.78602573654068,2.502680155946622,0.0,255.0,0.0,0.65625,1.0,0.0,0.28125,0,0,0,60
test,74,data\processed\exp_001_faces_224\test\74.png,data\raw\kul-computer-vision-ga-1-2026\test\test_74.npy,469e4b89a00b0a977b76985ac5598f101f03ca16,0,23,0.640625,1,101.60799950174389,90.38792025947431,3.1899108575286528,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,1,1,1,61
test,209,data\processed\exp_001_faces_224\test\209.png,data\raw\kul-computer-vision-ga-1-2026\test\test_209.npy,9d98a6e806642880e30e07558322ddf213d17336,0,23,0.640625,1,40.39575454287337,39.95936437145845,1.9452737719747377,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,1,1,1,62
test,602,data\processed\exp_001_faces_224\test\602.png,data\raw\kul-computer-vision-ga-1-2026\test\test_602.npy,819f861eb8b4514c29b9500b1f6ab2f5d2129bee,0,23,0.640625,1,69.22288312815657,47.43754489013934,2.738966113028831,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,2,2,2,63
test,1326,data\processed\exp_001_faces_224\test\1326.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1326.npy,a64e15dad9f61d4ad61ecad6c5854e36e197e25c,0,23,0.640625,1,34.74327425373134,50.870433802938656,3.2176254402496824,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,0,0,0,64
test,1375,data\processed\exp_001_faces_224\test\1375.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1375.npy,d071a0b8680c468c7a9a6dba36d155ccb8d85071,0,23,0.640625,1,59.16876746960067,34.017937489121245,2.802632956704418,0.0,251.0,0.0,0.640625,1.0,0.0,0.278125,1,1,1,65
test,866,data\processed\exp_001_faces_224\test\866.png,data\raw\kul-computer-vision-ga-1-2026\test\test_866.npy,f85edecc79d383d5bd8c0095de1c47cd6e7ee671,0,23,0.640625,2,45.34650848765432,58.90226156275742,3.2696227262740187,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,0,0,0,66
test,1584,data\processed\exp_001_faces_224\test\1584.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1584.npy,454d26a9898c49aba8b31c29a6b2eb22748f01c9,0,23,0.640625,2,66.1080218571801,67.1432872094111,2.902253003706672,0.0,255.0,0.0,0.640625,1.0,0.0,0.278125,0,0,0,67
test,126,data\processed\exp_001_faces_224\test\126.png,data\raw\kul-computer-vision-ga-1-2026\test\test_126.npy,67692cb108106b1d6ffc195a9e28ef9d71791e67,0,24,0.625,1,100.3834136594061,79.85422454958085,3.1341030010891844,0.0,255.0,0.0,0.625,1.0,0.0,0.275,0,0,0,68
test,362,data\processed\exp_001_faces_224\test\362.png,data\raw\kul-computer-vision-ga-1-2026\test\test_362.npy,7e72f7b924b88d60b69cb17a6c68fa3b0ae12ed7,0,24,0.625,1,41.370894004282654,43.89531494652122,3.1856690420624796,0.0,255.0,0.0,0.625,1.0,0.0,0.275,0,0,0,69
test,453,data\processed\exp_001_faces_224\test\453.png,data\raw\kul-computer-vision-ga-1-2026\test\test_453.npy,f797f1316656c13fa740299571443ee091e44d52,0,24,0.625,1,63.53378932599428,60.637547468660514,3.244696290644742,0.0,255.0,0.0,0.625,1.0,0.0,0.275,2,2,2,70
